OriginalTagID,OutplantTagID,Treatment Type,,Treatment TypeDouble,Nursery Partner,
171-AH,2191,DG2,DG2,DG,2176,
170-AH,2176,DG1,DG1,DG,2191,Planted together^ LG
398-AH,2190,SG,,SG,,
117-AH,2171,DCG,,DCG,,
454-AH,2124,SG,,SG,,
270-AH,2182,SG,,SG,,
437-AH,2179,DCG,,DCG,,
37-AH,2173,DCG,,DCG,,
269-AH,2183,DCG,,DCG,,
275-AH,2150,DG2,DG2,DG,2111,
274-AH,2111,DG1,DG1,DG,2150,Planted together^ LG
206-AH,2139,SG,,SG,,
222-AH,2174,SG,,SG,,
219-AH,2115,DG2,DG2,DG,2121,
218-AH,2121,DG1,DG1,DG,2115,Planted together^ LG
221-AH,2187,DCG,,DCG,,
163-AH,1802,DG2,DG2,DG,2185,
162-AH,2185,DG1,DG1,DG,1802,Planted together ^ LG
326-AH,2181,SG,,SG,,
198-AH,2143,SG,,SG,,
141-AH,2161,DCG,,DCG,,
53-AH,3058,DCG,,DCG,,
203-AH,1803,DG2,DG2,DG,1801,
202-AH,1801,DG1,DG1,DG,1803,Planted together^ LG
318-AH,3067,SG,,SG,,
379-AH,2135,DG2,DG2,DG,3031,
378-AH,3031,DG1,DG1,DG,2135,Planted together^ LG
131-AH,3013,DG2,DG2,DG,3073,
130-AH,3073,DG1,DG1,DG,3013,Planted together^ LG
429-AH,2192,DCG,,DCG,,
283-AH,2120,DG2,DG2,DG,2128,
282-AH,2128,DG1,DG1,DG,2120,Planted together^ LG
281-AH,3080,DCS,,DCS,,
181-AH,2105,DCG,,DCG,,
93-AH,2193,DCG,,DCG,,
67-AH,3027,DG2,DG2,DG,3018,
66-AH,3018,DG1,DG1,DG,3027,Planted together^ LG
387-AH,3050,DG2,DG2,DG,3062,
386-AH,3062,DG1,DG1,DG,3050,Planted together^ LG
370-AH,2114,DG1,DG1,DG,,
371-AH,2194,DG2,DG2,DG,2184,
342-AH,2184,DG1,DG1,DG,2194,Planted together^ LG
201-AH,2103,DCG,,DCG,,
421-AH,3084,DCG,,DCG,,
123-AH,3064,DG2,DG2,DG,3061,
122-AH,3061,DG1,DG1,DG,3064,Planted together^ LG
251-AH,3074,DG2,DG2,DG,3079,
250-AH,3079,DG1,DG1,DG,3074,Planted together^ LG
227-AH,2104,DG2,DG2,DG,2159,
226-AH,2159,DG1,DG1,DG,2104,Planted together^ LG
461-AH,3017,DCG,,DCG,,
46-AH,2109,SG,,SG,,
333-AH,2200,DCG,,DCG,,
54-AH,3072,SG,,SG,,
38-AH,2154,SG,,SG,,
446-AH,2108,SG,,SG,,
91-AH,2110,DG2,DG2,DG,2196,
90-AH,2196,DG1,DG1,DG,2110,Planted together^ LG
173-AH,2130,DCG,,DCG,,
422-AH,2155,SG,,SG,,
254-AH,2122,SG,,SG,,
375-AH,2147,SG,,SG,,
115-AH,2119,DG2,DG2,DG,2101,
114-AH,2101,DG1,DG1,DG,2119,^ planted together
477-AH,2140,DCG,,DCG,,
299-AH,2186,DG2,DG2,DG,2189,
298-AH,2189,DG1,DG1,DG,2186,^ planted together
101-AH,2112,DCG,,DCG,,
239-AH,2106,DS1 ,,DS,,Other plant died before outplant? -MA
338-AH,2102,DG1,DG1,DG,,Other plant died before outplant? -MA
149-AH,3021,DCG,,DCG,,
187-AH,2160,DG2,DG2,DG,,Other plant died before outplant? -MA
85-AH,3059,DCG,,DCG,,
182-AH,3095,SG,,SG,,
427-AH,2117,DG2,DG2,DG,1899,
426-AH,1899,DG1,DG1,DG,2117,^ planted together
261-AH,3068,DCG,,DCG,,
242-AH,2197,DG1,DG1,DG,2198,
243-AH,2198,DG2,DG2,DG,2197,^ planted together
341-AH,2113,DCG,,DCG,,
189-AH,2153,DCG,,DCG,,
410-AH,2162,DG1,DG1,DG,2129,
411-AH,2129,DG2,DG2,DG,2162,^ planted together
405-AH,3014,DCG,,DCG,,
14-AH,3020,SG,,SG,,
306-AH,3081,DG1,DG1,DG,3070,
307-AH,3070,DG2,DG2,DG,3081,^ planted together
414-AH,2116,SG,,SG,,
293-AH,2199,DCG,,DCG,,
450-AH,2107,DG1,DG1,DG,2144,
451-AH,2144,DG2,DG2,DG,2107,^ planted together
3-AH,3019,DG2,DG2,DG,,Other plant died before outplant? -MA
397-AH,2148,DCG,,DCG,,
125-AH,2118,DCG,,DCG,,
190-AH,2158,SG,,SG,,
245-AH,2195,DCG,,DCG,,
214-AH,2131,SG,,SG,,
63-AH,2127,DS1,,DS,2133,
64-AH,2133,DS2,,DS,2127,^ planted together
303-AH,2126,DS1,,DS,3082,
304-AH,3082,DS2,,DS,2126,^ planted together
65-AH,3028,DCS,,DCS,,
385-AH,1848,DCS,,DCS,,
399-AH,3012,DS1,,DS,3092,
400-AH,3092,DS2,,DS,3012,^ planted together
148-AH,3041,SS,,SS,,
404-AH,3048,SS,,SS,,
340-AH,1810,SS,,SS,,
424-AH,1866,DS2,,DS,1837,
423-AH,1837,DS1,,DS,1866,^ planted together
84-AH,3002,SS,,SS,,
169-AH,3039,DCS,,DCS,,
215-AH,2136,DS1,,DS,2134,
216-AH,2134,DS2,,DS,2136,^ planted together
76-AH,1851,SS,,SS,,
391-AH,1855,DS1,,DS,1820,
392-AH,1820,DS2,,DS,1855,^ planted together
103-AH,1805,DS1,,DS,1843,
104-AH,1843,DS2,,DS,1805,^ planted together
297-AH,3043,DCS,,DCS,,
465-AH,3097,DCS,,DCS,,
204-AH,3029,SS,,SS,,
113-AH,2137,DCS,,DCS,,
231-AH,1816,DS1,,DS,1838,
232-AH,1838,DS2,,DS,1816,^ planted together
185-AH,1856,DCS,,DCS,,
295-AH,1864,DS1,,DS,1860,
296-AH,1860,DS2,,DS,1864,^ planted together
31-AH,1879,DS1,,DS,1884,
32-AH,1884,DS2,,DS,1879,^ planted together
345-AH,3071,DCS,,DCS,,
79-AH,3040,DS1,,DS,3094,
80-AH,3094,DS2,,DS,3040,^ planted together
468-AH,3091,SS,,SS,,
332-AH,2138,SS,,SS,,
409-AH,1865,DCS,,DCS,,
57-AH,3087,DCS,,DCS,,
321-AH,1878,DCS,,DCS,,
260-AH,3088,SS,,SS,,
20-AH,3032,SS,,SS,,
36-AH,2125,SS,,SS,,
152-AH,2172,DS2,,DS,2175,
151-AH,2175,DS1,,DS,2172,^ planted together
199-AH,3099,DS1,,DS,3085,
200-AH,3085,DS2,,DS,3099,^ planted together
223-AH,1881,DS1,,DS,1842,
224-AH,1842,DS2,,DS,1881,^ planted together
265-AH,2132,DCS,,DCS,,
257-AH,2166,DCS,,DCS,,
337-AH,2163,DCS,,DCS,,
401-AH,2167,DCS,,DCS,,
33-AH,2145,DCS,,DCS,,
447-AH,2146,DS1,,DS,2178,
448-AH,2178,DS2,,DS,2146,^ planted together
327-AH,2164,DS1,,DS,2177,
328-AH,2177,DS2,,DS,2164,^ planted together
55-AH,2123,DS1,,DS,2165,
56-AH,2165,DS2,,DS,2123,^ planted together
256-AH,2168,DS2,,DS,2141,
255-AH,2141,DS1,,DS,2168,^ planted together
71-AH,2169,DS1,,DS,2156,
72-AH,2156,DS2,,DS,2169,^ planted together
228-AH,2151,SS,,SS,,
100-AH,2180,SS,,SS,,
476-AH,2149,SS,,SS,,
428-AH,2188,SS,,SS,,
484-AH,2170,SS,,SS,,
373-AH,3023,DCG,,DCG,,
22-AH,3066,SG,,SG,,
262-AH,3063,SG,,SG,,
50-AH,3077,DG1,DG1,DG,3056,
51-AH,3056,DG2,DG2,DG,3077,^ planted together
438-AH,3034,SG,,SG,,
317-AH,3003,DCG,,DCG,,
77-AH,3010,DCG,,DCG,,
110-AH,3011,SG,,SG,,
322-AH,3007,DG1,DG1,DG,3009,
323-AH,3009,DG2,DG2,DG,3007,^ planted together
346-AH,3055,DG1,DG1,DG,3052,
347-AH,3052,DG2,DG2,DG,3055,^ planted together
325-AH,3051,DCG,,DCG,,
62-AH,3049,SG,,SG,,
382-AH,3016,SG,,SG,,
13-AH,3069,DCG,,DCG,,
150-AH,3083,SG,,SG,,
229-AH,3015,DCG,,DCG,,
253-AH,1862,DCG,,DCG,,
11-AH,1873,DG2,DG2,DG,2851,
10-AH,2851,DG1,DG1,DG,1873,^ planted together
158-AH,1812,SG,,SG,,
474-AH,1840,DG1,DG1,DG,1858,
475-AH,1858,DG2,DG2,DG,1840,^ planted together
142-AH,1818,SG,,SG,,
197-AH,1808,DCG,,DCG,,
278-AH,1836,SG,,SG,,
336-AH,1894,DS2 ,,DS,,Other plant died before outplant? -MA
137-AH,1892,DCS,,DCS,,
412-AH,1804,SS,,SS,,
436-AH,3045,SS,,SS,,
143-AH,1874,DS1,,DS,1877,
144-AH,1877,DS2,,DS,1874,^ planted together
455-AH,1839,DS1,,DS,1888,
456-AH,1888,DS2,,DS,1839,^ planted together
425-AH,1897,DCS,,DCS,,
316-AH,1853,SS,,SS,,
135-AH,1824,DS1,,DS,1869,
136-AH,1869,DS2,,DS,1824,^ planted together
241-AH,2864,DCS,,DCS,,
481-AH,1850,DCS,,DCS,,
15-AH,2142,DS1,,DS,2152,
16-AH,2152,DS2,,DS,2142,^ planted together
5-AH,3065,DCG,,DCG,,
94-AH,1846,SG,,SG,,
459-AH,1861,DG2,DG2,DG,1854,
458-AH,1854,DG1,DG1,DG,1861,^ planted together
434-AH,1841,DG1,DG1,DG,1880,
435-AH,1880,DG2,DG2,DG,1841,^ planted together
179-AH,1829,DG2,DG2,DG,1857,
178-AH,1857,DG1,DG1,DG,1829,^ planted together
98-AH,1844,DG1,DG1,DG,1809,
99-AH,1809,DG2,DG2,DG,1844,^ planted together
350-AH,1863,SG,,SG,,
315-AH,1822,DG2,DG2,DG,1900,
314-AH,1900,DG1,DG1,DG,1822,^ planted together
469-AH,1814,DCG,,DCG,,
470-AH,1831,SG,,SG,,
246-AH,1830,SG,,SG,,
374-AH,1826,SG,,SG,,
442-AH,1828,DG1,DG1,DG,,
