Month/YR Monitored,Date Data Collected,EpicotylLength,OutplantTagID,DeadAliveDying,PlumuleColor,HypocotylLength,TotalLength,Branches,"LeavesMainStem
",LeavesBranches,TotalLeaves,,,PROP ROOTS
11.2023,11/27/2023,,2186,A,G,,23,0,4,0,4,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2189,A,G,,24.6,0,3,0,3,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,3095,A,G,,32,0,3,0,3,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,3059,A,G,,26.1,0,8,0,8,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2178,A,G,,28.6,2,7,UKN,UKN,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2146,A,G,,23.2,0,10,0,10,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2170,NA,G,,NA,NA,NA,NA,NA,NA,PLANT MISSING,
11.2023,11/27/2023,,2145,A,G,,25.8,1,8,UKN,UKN,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,1899,A,G,,31.4,0,6,0,6,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2117,A,G,,25.4,0,4,0,4,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2154,A,G,,35,0,6,0,6,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2118,A,G,,26.3,0,2,0,2,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2169,A,G,,31.5,0,4,0,4,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2156,A,G,,30.5,0,4,0,4,H,ACCIDENTLY MEASURED HYPOCOTYL,
11.2023,11/27/2023,,2132,A,G,,24,0,3,0,3,H,,
11.2023,11/27/2023,,2128,A,G,,44.6,0,2,0,2,H,,
11.2023,11/27/2023,,2120,A,G,,43.7,0,3,0,3,H,,
11.2023,11/27/2023,,1826,A,G,,33.3,0,4,0,4,H,,
11.2023,11/27/2023,,2157,A,G,,39.5,0,3,0,3,H,,
11.2023,11/27/2023,,2144,A,G,,47.2,0,6,0,6,H,,
11.2023,11/27/2023,,2107,A,G,,40,0,4,0,4,H,,
11.2023,11/27/2023,,2131,A,G,,37.4,0,6,0,6,H,,
11.2023,11/27/2023,,3068,A,G,,33.3,0,3,0,3,H,,
11.2023,11/27/2023,,2168,A,G,,43.2,0,2,0,2,H,,
11.2023,11/27/2023,,2141,A,G,,44.1,0,4,0,4,H,,
11.2023,11/27/2023,,2180,A,G,,47.4,0,7,0,7,H,,
11.2023,11/27/2023,,2166,A,G,,43.3,0,4,0,4,H,,
11.2023,11/27/2023,,3062,A,G,,30.5,0,3,0,3,H,,
11.2023,11/27/2023,,3050,A,G,,31.6,0,4,0,4,H,,
11.2023,11/27/2023,,2835,A,G,,44.9,0,4,0,4,H,,
11.2023,11/27/2023,,2200,A,G,,26,0,3,0,3,H,,
11.2023,11/27/2023,,1900,A,G,,30.2,0,2,,2,H,,
11.2023,11/27/2023,,1822,A,G,,28.4,0,0,0,0,W,STRUGGLING,
11.2023,11/27/2023,,2147,A,G,,27.4,0,2,0,2,H,,
11.2023,11/27/2023,,1812,A,G,,30,0,2,0,2,H,,
11.2023,11/27/2023,,3047,A,G,,49,0,7,0,7,H,,
11.2023,11/27/2023,,3038,A,G,,50.1,0,6,0,6,H,,
11.2023,11/27/2023,,2852,A,G,,48.4,0,5,0,5,H,,
11.2023,11/27/2023,,3044,A,G,,45.4,3,8,UKN,UKN,H,,
11.2023,11/27/2023,,3054,A,G,,40,0,5,0,5,H,,
11.2023,11/27/2023,,3057,A,G,,49.5,0,6,0,6,H,,
11.2023,11/27/2023,,1832,A,G,,40.1,0,9,0,9,H,,
11.2023,11/27/2023,,1819,A,G,,46.5,0,9,0,9,H,,
11.2023,11/27/2023,,1847,A,G,,47.1,0,5,0,5,NA,,
11.2023,11/27/2023,,1871,A,G,,47.7,0,4,0,4,NA,,
11.2023,11/27/2023,,3089,D,G,,NA,NA,NA,NA,NA,DEAD,PuLLED TAG,
11.2023,11/27/2023,,3025,A,G,,53,0,8,0,8,NA,,
11.2023,11/27/2023,,3053,A,G,,42.3,0,6,0,6,NA,,
11.2023,11/27/2023,,3030,A,G,,36.5,0,8,0,8,NA,,
11.2023,11/27/2023,,3086,A,G,,48,0,7,0,7,NA,,
11.2023,11/27/2023,,3001,A,G,,50,2,6,UKN,UKN,NA,,
11.2023,11/27/2023,,3096,A,G,,46,0,6,0,6,NA,,
